model,seed,roc_auc,pr_auc,f1,precision,recall,mcc,bal_acc,tp,fp,fn,tn,threshold
v1_baseline,1,0.5893869424549955,0.10136981984344051,0.1951219512195122,0.1509433962264151,0.27586206896551724,0.15365686297470402,0.6018444266238974,16,90,42,1157,4.111016349792487
v2_improved,1,0.5246107900340127,0.07040448902207753,0.09917355371900827,0.09523809523809523,0.10344827586206896,0.05551140171662974,0.5288692862870891,6,57,52,1190,15.273628273010253
v1_baseline,2,0.569822747006609,0.08208216532715452,0.16574585635359115,0.12195121951219512,0.25862068965517243,0.12132401458086398,0.5860064153969526,15,108,43,1139,3.8419781684875507
v2_improved,2,0.5266156015817272,0.07726992828959703,0.0963855421686747,0.16,0.06896551724137931,0.07836445860269196,0.5260625501202887,4,21,54,1226,16.93688583374022
v1_baseline,3,0.5903686087990487,0.09896971356992054,0.19858156028368795,0.1686746987951807,0.2413793103448276,0.1571064827169473,0.5930232558139534,14,69,44,1178,4.526185092926026
v2_improved,3,0.5546691369631945,0.08997828621747253,0.125,0.15789473684210525,0.10344827586206896,0.0953393965109858,0.5388933440256616,6,32,52,1215,17.117712020874023
